title,authors,source,date,database,quote,download

合成生物学研究的特征与趋势——基于CiteSpace的数据分析,"['陈秉塬', '钟源']",科学技术与工程,2021-06-28,期刊,,100

近十年来我国养老护理人力资源领域研究热点的可视化分析,"['梅紫琦', '孟娣娟']",齐齐哈尔医学院学报,2021-06-28,期刊,,80

基于文献计量分析的全球增材制造(3D打印)研究进展(2013—2017年),"['金帅', '罗震', '李洋', '罗丹青', '敖三三']",焊接技术,2021-06-28,期刊,,132

职业教育研究领域评价类文献的知识图谱分析,['徐菁晶'],江苏高职教育,2021-06-28,期刊,,6

学分银行学分银行研究的图谱化分析,"['张焱', '杨斌']",高等继续教育学报,2021-06-28,期刊,,63

我国商务英语的研究热点及发展趋势——基于10年来CNKI论文的知识图谱分析,['张蔚磊'],上海交通大学学报(哲学社会科学版),2021-06-26,期刊,1,496

CoTransH:科技文献知识图谱中语义关系预测的翻译模型,"['陶玥', '余丽', '吴振新']",情报理论与实践,2021-06-25,期刊,,222

基于知识图谱的科技成果智能查询系统,[],计算机工程与应用,2021-06-25,期刊,,386

国内长期护理保险的研究现状与反思——基于CNKI的文献计量分析,"['朱国龙', '金淑彬', '胡俊', '张宁', '巫安丽']",内江师范学院学报,2021-06-25,期刊,,279

基于CiteSpace和VOSviewer计量分析的旅游经济研究前沿与热点分析,"['左鑫', '伍招妃', '马艳', '唐业喜']",科技创业月刊,2021-06-25,期刊,,136

国内情报领域中智库研究的可视化分析,"['周彤', '刘春艳']",图书情报导刊,2021-06-25,期刊,,129

国内水足迹研究的知识图谱可视化分析,['王丹丹'],赤峰学院学报(自然科学版),2021-06-25,期刊,,95

中国采矿工程安全研究的可视化分析,"['高斌', '袁绍国', '王东旺']",能源与节能,2021-06-25,期刊,,34

中国绿色施工研究现状与趋势——基于2005—2020国内文献知识图谱分析,"['汪振双', '孙剑书']",沈阳大学学报(自然科学版),2021-06-25,期刊,1,139

知青史研究的热点、趋势与展望——基于Citespace可视化分析方法的计量研究,"['高灿', '叶青']",浙江工业大学学报(社会科学版),2021-06-25,期刊,,73

高校意识形态建设研究热点的可视化分析,"['朱皆笑', '陈杰']",浙江工业大学学报(社会科学版),2021-06-25,期刊,,181

基于学科知识图谱的智慧课堂教学问题设计方法及举隅,"['蒋禹飞', '唐烨伟', '孙宏志']",天津市教科院学报,2021-06-25,期刊,,275

基于CiteSpace的高校图书馆在新冠肺炎疫情期间的服务研究,['任云丽'],图书情报导刊,2021-06-25,期刊,,164

title,authors,source,date,database,quote,download

基于文献计量学的生态恢复发展脉络与趋势分析,"['张晶', '马建霞', '陈春', '李娜']",科技促进发展,2021-11-23,期刊,,

基于CiteSpace软件的科技期刊媒体融合相关研究分析,"['钦嫣', '吕佳', '孙洋洋', '徐晶']",传播与版权,2021-11-22,期刊,,

国内创新创业政策知识图谱研究——基于1998—2021年文献的CiteSpace可视化分析,"['易文思', '罗国宇']",教育观察,2021-11-22,期刊,,

体育课程思政研究现状及展望——基于科学知识图谱的可视化分析,"['赵芳', '刘楚琛', '赵美川', '李雪榴']",教育观察,2021-11-22,期刊,,

毕业后医学教育模拟教学研究热点与趋势的可视化分析,"['袁静', '王滔']",中国继续医学教育,2021-11-20,期刊,,

基于文献计量的知识图谱在中医药领域中的应用分析,"['井媛媛', '王连心', '李敬华', '姜俊杰']",世界科学技术-中医药现代化,2021-11-19,期刊,,

知识重组与场景再构：面向数字资源管理的元宇宙,"['向安玲', '高爽', '彭影彤', '沈阳']",图书情报知识,2021-11-19,期刊,,

我国数字阅读研究知识图谱分析——基于CSSCI期刊论文,"['徐丽芳', '周伊']",出版科学,2021-11-18,期刊,,82

基于CiteSpace的高职创新创业教育研究进展与趋势探析,['陈建明'],继续教育研究,2021-11-17,期刊,,130

公安领域流动人口研究的热点与现状——基于Cite Space的知识图谱分析,['王晨曦'],经营与管理,2021-11-17,期刊,,57

工业互联网综述与展望：基于文献计量分析,"['唐国锋', '冯子钰', '李丹', '艾兴政']",计算机集成制造系统,2021-11-15,期刊,,294

雷公藤毒性研究进展的CiteSpace知识图谱分析,"['韩姗姗', '代彦林', '丁樱', '张霞', '孙利辉', '', '高敏']",中国中药杂志,2021-11-15,期刊,,255

盐湖提锂知识图谱分析——Citespace可视化分析,"['马超群', '黄海港', '何利华']",化学工业与工程,2021-11-15,期刊,,

国内机构养老设施文献综述研究与展望——基于Citespace软件运用,"['赵小龙', '徐佳敏']",建筑与文化,2021-11-15,期刊,,

基于文献计量学的装配式建筑可视化研究,"['魏宏亮', '冯力强', '吴星蓉', '张雷', '刘福江']",技术与市场,2021-11-15,期刊,,

知识图谱视角下地理乡村振兴研究热点可视化分析,['马文亚'],南方农机,2021-11-13,期刊,,158

采用文献计量可视化知识图谱分析的装配式建筑预制供应链管理,"['秦旋', '张赵鑫', '朱倩影']",华侨大学学报(自然科学版),2021-11-13,期刊,,79

UCD研究进展、热点与趋势分析,"['武星廷', '陈永康', '刘梦非']",包装工程,2021-11-12,期刊,,99

新世纪以来国际体育场馆研究的热点前沿及进展演化分析,"['潘怡', '姚绩伟', '曹胡丹']",浙江体育科学,2021-11-12,期刊,,36

基于Citespace的地表水-地下水相互作用研究文献分析,"['刘玉玉', '冯雨晴', '姜欣']",南水北调与水利科技(中英文),2021-11-11,期刊,,142

title,authors,source,date,database,quote,download

国内针灸临床随机对照试验45年（1975–2019）：热点与趋势,"['庞博', '易少威', '单心觉', '陈欣欣', '朱征', '', '欧益', '徐倩', '丁帅', '许文青', '姜涛', '张俊华']",中国针灸,2021-11-10,期刊,,63

研究生教育研究的进展、热点与趋势——基于国内外核心数据库文献的可视化知识图谱分析,"['王坦', '许家瑞', '胡伟力']",西南民族大学学报(人文社会科学版),2021-11-10,期刊,,86

装配式建筑与BIM集成研究的学术热点及演进趋势——基于CiteSpace与Ucinet的文献计量可视化分析,"['何文玉', '文新鹏', '黄新开', '彭俊龙', '廖羚']",['第八届BIM技术国际交流会——工程项目全生命期协同应用创新发展论文集'],2021-11-10,中国会议,,30

基于CiteSpace可视化分析热敏灸研究热点与发展趋势,"['毕婕妤', '方俊霖', '姜伟佳', '孙咪', '于慧娟', '', '张昕', '谭奇纹']",世界中医药,2021-11-08,期刊,,140

国内外引文内容分析研究进展,['周志超'],情报杂志,2021-11-08,期刊,,44

基于CiteSpace的中医药治疗功能性消化不良知识图谱可视化研究,"['邹孟龙', '黄晓燕', '陈雅璐', '宁芯']",时珍国医国药,2021-11-08,期刊,,179

我国突发公共事件研究（2003—2020年）：热点与趋势——基于citespace知识图谱可视化分析,"['钟莉', '郭艳平']",云南行政学院学报,2021-11-08,期刊,,256

基于森林公园建设研究进展的知识图谱可视化分析,"['万浩宇', '闫晨雨', '王一三']",安徽农业科学,2021-11-08,期刊,,46

国际建成环境与体力活动领域研究回顾与展望,"['杨剑', '郭正茂']",成都体育学院学报,2021-11-04,期刊,,46

基于Web of Science的城市空间紧凑度研究知识图谱分析,"['蓝婷', '唐立娜', '徐智邦', '贾玉秋']",生态学报,2021-11-04,期刊,,59

基于CiteSpace的中国共产党党史研究文献知识图谱分析,"['修新田', '陈月霄', '林婉玲', '宋旺']",图书馆理论与实践,2021-11-04,期刊,,207

基于CNKI数据库的国内草原生态补偿研究的知识图谱分析,"['高玉娟', '石娇']",中国农业资源与区划,2021-11-03,期刊,,66

基于知识图谱的管道完整性管理研究特征与热点演化,"['帅健', '王伟', '梅苑', '金国清']",油气储运,2021-11-03,期刊,,49

基于知识图谱的微博主题演变路径研究,"['黄微', '卢国强', '赵旭']",情报理论与实践,2021-11-02,期刊,,175

知识图谱分析的可能性与民俗学研究方法的多元化：一项基于辽宁省非遗研究(2007-2020)的可视化探索,"['吉国秀', '郭晓宇']",民俗研究,2021-11-02,期刊,,72

面向非遗文本的知识组织模式及人文图谱构建研究,"['张卫', '王昊', '李跃艳', '邓三鸿']",情报资料工作,2021-11-01,期刊,,103

国内慕课研究的热点与发展趋势——基于CiteSpace的知识图谱分析,"['秦海波', '张乃波', '冯晓雯', '李莉莉']",科技促进发展,2021-11-01,期刊,,158

基于知识图谱的政策文本协同性推理研究,"['韩娜', '马海群', '刘兴丽']",情报科学,2021-11-01,期刊,,90

我国智库评价研究态势、热点与趋势——基于《中国学术期刊(网络版)》数据的分析,"['孙掌印', '姚凯波', '徐路', '金敏婕']",现代情报,2021-11-01,期刊,,71

我国舆情决策研究的可视化分析,"['邹汶君', '张双狮', '夏一雪', '陈蕾']",中国管理信息化,2021-11-01,期刊,,

title,authors,source,date,database,quote,download

行政复议法修改的热点与趋势——基于CiteSpace知识图谱可视化分析,['鲍田莉'],"['《上海法学研究》集刊（2021年第7卷', '总第55卷）——律师法学研究文集']",2021-11-01,中国会议,,

基于科学知识图谱对我国1999-2019年竞技体操研究成果中作者的可视化分析,['宋丽霞'],文体用品与科技,2021-11-01,期刊,,25

基于知识图谱的少数民族体育研究热点与趋势可视化分析,['章国峰'],文体用品与科技,2021-11-01,期刊,,20

基于CiteSpace的五四新文化运动时期书籍设计研究的图谱分析,"['王华', '万长林']",湖南包装,2021-10-31,期刊,,9

基于CiteSpace知识图谱可视化分析的侦查理论研究,"['苗林林', '陈京都']",广西警察学院学报,2021-10-31,期刊,,

2008- 2018年中国中医科学院硕博士学位论文研究热点可视化分析,[],国际中医中药杂志,2021-10-30,期刊,,2

我国职业教育产教融合研究热点与趋势——基于CiteSpace的可视化分析,"['陈雪萍', '陈丽君']",教育科学论坛,2021-10-30,期刊,,21

基于CiteSpace的我国脱贫攻坚档案研究热点及趋势分析,['秦成'],黑龙江档案,2021-10-30,期刊,,

基于多模态知识图谱的南海疆维权证据链系统构建,"['司徒凌云', '石进', '杨海平', '沈固朝']",情报杂志,2021-10-29,期刊,,66

我国近二十年幼儿教师师德研究综述——基于CiteSpace知识图谱软件的量化分析,"['黄小倩', '沈小强']",教育观察,2021-10-28,期刊,,79

基于国外数据库的传统村落研究文献知识图谱分析,['户文月'],武汉商学院学报,2021-10-28,期刊,,4

知识图谱技术在消防工作中的应用研究,"['万军', '翟飞']",今日消防,2021-10-28,期刊,,

基于WoS和Citespace的企业家社会资本知识图谱分析,"['张立君', '吴江秋']",集美大学学报(哲学社会科学版),2021-10-28,期刊,,

我国科研建筑研究领域知识图谱可视化分析,"['雷明珠', '崔彤']",西安建筑科技大学学报(自然科学版),2021-10-27,期刊,,54

基于文献计量的全球氢能知识图谱分析,"['周超峰', '孙玉琦', '魏凤', '丰米宁']",现代化工,2021-10-27,期刊,,74

基于Citespace知识图谱的中国适老化研究历程与趋势分析,"['白雪锋', '郑婕', '周成玲', '王浩']",中国老年学杂志,2021-10-25,期刊,,172

国内多模态翻译研究的可视化分析：现状、问题及建议,"['李小华', '唐青叶']",北京科技大学学报(社会科学版),2021-10-25,期刊,,131

中国人力资本文献计量研究——基于CSSCI文献的知识图谱可视化分析,"['杨润高', '尹昊', '况秋华']",科技和产业,2021-10-25,期刊,,82

基于CiteSpace的行为人风险态度研究热点与前沿分析,"['李睿', '张云华']",科技和产业,2021-10-25,期刊,,22

国内“区块链+教育”之研究热点与发展思考——基于Citespace的可视化分析,['和雪刚'],创新与创业教育,2021-10-25,期刊,,68

title,authors,source,date,database,quote,download

中国英语学习策略研究的知识图谱,['丰海利'],山西能源学院学报,2021-10-25,期刊,,34

基于Cite Space工具的课程思政研究可视化分析,['赵璇'],金融理论与教学,2021-10-25,期刊,,18

基于CiteSpace的地研究热点及发展趋势分析,"['杨巧君', '邱伟文', '雷后兴', '张晓芹']",中国医药导报,2021-10-25,期刊,,11

基于CiteSpace新型冠状肺炎护理研究热点可视化分析,"['邓博', '刘宁']",护理学报,2021-10-25,期刊,,47

基于CiteSpace的国内外众包创新研究热点与前沿,"['陈沁唯', '刘金煜', '杨中华']",科技创业月刊,2021-10-25,期刊,,

基于CiteSpace的我国医养结合研究热点及发展趋势分析,"['李孜', '钱思汶', '蒲海霞']",老年医学研究,2021-10-25,期刊,,

基于CiteSpace的中国造纸科学技术研究的可视化分析,"['王娜', '王欣辉', '张恒']",中华纸业,2021-10-23,期刊,,12

基于CiteSpace分析非典型性肺炎研究对传染病诊治防控的启示,"['刘洁', '隋永博']",黑龙江科学,2021-10-23,期刊,,7

知识图谱在海洋领域的应用及前景分析综述,"['熊中敏', '马海宇', '李帅', '张娜']",计算机工程与应用,2021-10-22,期刊,,289

基于Citespace的我国近20年刮痧研究热点及态势的可视化分析,"['陆金裕', '李振东', '杨雷', '张月娟']",护士进修杂志,2021-10-22,期刊,,59

人工智能在幼儿教育领域应用的研究热点与展望——基于CiteSpace知识图谱分析,"['史力玲', '杨凤', '王欢']",早期教育,2021-10-22,期刊,,53

中医舌象特征客观化研究领域科学知识图谱与可视化分析,"['王东军', '杨欢', '田之魁', '孙璇', '周宗慧', '', '朱青青', '关媛媛', '王泓午']",世界科学技术-中医药现代化,2021-10-21,期刊,,63

2010年以来从土地整治到全域整治的热点研究和阶段分析——基于耕地保护视角,"['胡动刚', '蒙萌', '胡思颖', '李雪妍', '鲍泽韩']",华中农业大学学报,2021-10-21,期刊,,169

中医体质知识图谱分析——基于VOSviewer和CiteSpace的计量分析,"['石燕', '何黎', '任秋静', '刘露', '温川飙', '', '孙涛', '罗悦']",世界科学技术-中医药现代化,2021-10-21,期刊,,161

基于2010-2019年SCI数据库文献的罕见病发展态势及前沿热点分析,"['周维军', '吴冬梅', '王淼', '陆兮', '贾艳妮', '', '高阳']",预防医学情报杂志,2021-10-21,期刊,,51

国际人才国内外研究的热点及述评——基于CiteSpace的可视化分析,"['李春浩', '牛雄鹰']",科技与经济,2021-10-20,期刊,,62

基于Cite Space的中国农民工返乡研究知识图谱分析,['门晓菲'],中国集体经济,2021-10-20,期刊,,34

面向地震灾害防治的知识图谱构建方法研究,"['谢炎宏', '王亮', '董春', '康风光']",测绘科学,2021-10-20,期刊,,68

基于知识图谱的我国残疾人文化研究可视化分析,"['李家菊', '冯其斌', '周姊毓', '黄静', '李天琳']",通化师范学院学报,2021-10-20,期刊,,22

资源环境承载力：基于CNKI文献的知识图谱分析,"['王丹阳', '周景阳']",国土资源情报,2021-10-20,期刊,,26

title,authors,source,date,database,quote,download

基于CiteSpace的我国职业教育助推乡村振兴研究知识图谱分析,"['邱亮晶', '万红新', '李祖民']",湖北广播电视大学学报,2021-10-20,期刊,,38

面向海上多节点信息资源管理的知识图谱构建方法,"['何江波', '韩宛彤', '黄继红', '赵恒']",计算机与数字工程,2021-10-20,期刊,,36

中国网红研究的热点关切与反思——基于文献计量学的知识图谱研究,"['方艳', '胡婷婷', '袁誉慧']",新闻爱好者,2021-10-20,期刊,,42

基于CiteSpace的新工科研究知识图谱分析,"['程灏', '刘淑芳', '逯与浩']",中国现代教育装备,2021-10-20,期刊,,7

国际财经传播研究的知识来源、研究主题及对我国的借鉴——基于SSCI期刊10年论文的文献计量学分析,"['潘佳宝', '庞云黠']",未来传播,2021-10-20,期刊,,20

基于CiteSpace的家庭教育发展策略研究,['姚娜'],安康学院学报,2021-10-20,期刊,,46

近10年针灸治疗脑卒中英文文献计量学及可视化分析,"['朱婵', '张强', '韩栩珂', '姚承佼', '刘静', '', '邵明']",中医药临床杂志,2021-10-20,期刊,,15

基于知识图谱的我国高校图书馆个性化推荐研究综述,"['赵衍', '杨喆涵']",上海管理科学,2021-10-20,期刊,,

基于CiteSpace的国内汽车热管理文献可视化分析,"['滕金润', '蔡云']",['四川省第十五届汽车学术年会论文集'],2021-10-20,中国会议,,7

“我国大学生意识形态研究”的进展、热点知识图谱分析,"['高锋', '李佳骏', '胡雅如']",大学,2021-10-20,期刊,,12

中国旅游高质量发展研究热点及趋势分析——基于CiteSpace的知识图谱分析,"['李丽霞', '何彪', '童昀']",华中师范大学学报(自然科学版),2021-10-19,期刊,,744

基于CiteSpace的统一战线学相关理论研究可视化分析,"['沈又红', '黎钰林']",湖南师范大学社会科学学报,2021-10-19,期刊,,129

近十五年我国教师工作坊研究热点与趋势预判研究,"['曾伟', '唐金根']",体育科技文献通报,2021-10-19,期刊,,27

政府购买服务风险研究热点与趋势——基于CiteSpace的知识图谱分析,[],统计与管理,2021-10-19,期刊,,63

基于CiteSpace知识图谱分析的国内外建筑碳排放研究进展,"['蒋梦菊', '张益伊']",['中国环境科学学会2021年科学技术年会论文集（一）'],2021-10-19,中国会议,,

青少年身体活动影响因素研究的知识图谱分析,"['刘昕尧', '严伊苹']",体育科技文献通报,2021-10-18,期刊,,84

基于CiteSpace的中医药治疗IgA肾病知识图谱可视化分析,"['张春辉', '吕静', '郭建仪', '庄晓岩', '张忠胜']",浙江中医杂志,2021-10-16,期刊,,31

面向多源异质数据源的学科知识图谱构建方法,"['李家瑞', '李华昱', '闫阳']",计算机系统应用,2021-10-15,期刊,,60

我国体育产业研究的知识图谱分析,['余容平'],西安文理学院学报(自然科学版),2021-10-15,期刊,,27

我国知识管理研究进展与热点分析——基于CiteSpace V的可视化视角,"['程强', '崔代宇', '刘怡伶']",图书馆工作与研究,2021-10-15,期刊,,237

title,authors,source,date,database,quote,download

国外自适应学习技术研究主题与趋势分析,"['张梦洁', '刘峰', '程薇']",计算机时代,2021-10-15,期刊,,24

国内“区块链+教育”研究的可视化分析——以160篇“区块链+教育”相关的核心期刊论文为样本文献,"['兰丽娜', '吴芬芬', '石瑞生']",现代教育技术,2021-10-15,期刊,,117

近二十年来高校“红色社团”研究的发展与展望——基于CiteSpace知识图谱的分析,"['李铭', '杨萍']",淮南职业技术学院学报,2021-10-15,期刊,,15

常见文献计量学工具的分析功能比较研究,['杨倩'],情报探索,2021-10-15,期刊,,53

基于CiteSpace的国内概念隐喻研究,['张鑫'],黄河水利职业技术学院学报,2021-10-15,期刊,,36

基于知识图谱的我国现行消防法学术研究及应用进展,['宋改芸'],消防界(电子版),2021-10-15,期刊,,3

徽派建筑知识图谱的半自动化构建,"['张润梅', '杨超', '尹蕾', '张媛']",安徽建筑大学学报,2021-10-15,期刊,,15

试论基于知识图谱构建吉林省文旅资源融合平台,['侯国柱'],吉林省教育学院学报,2021-10-15,期刊,,8

我国农民体育研究知识图谱解析及启示,"['侯绪豪', '周君华', '高雅轩', '张锐']",皖西学院学报,2021-10-15,期刊,,13

“双师型”教师研究的可视化分析,['张毛毛'],武汉职业技术学院学报,2021-10-15,期刊,,10

基于CiteSpace的公共实训基地研究热点分析与展望,['韩连权'],常州信息职业技术学院学报,2021-10-15,期刊,,5

基于CiteSpace的国内外城市植物多样性研究对比分析,"['甘玉婷', '倪榕蔚', '舒柳', '李岩林', '黄柳菁']",山东林业科技,2021-10-15,期刊,,16

基于Citespace的国内卓越农林人才培养研究进展,"['张绿水', '刘纯青', '喻雪晴', '李宝勇', '张云']",江西科学,2021-10-15,期刊,,6

企业社会资本的科学知识图谱——基于CSSCI来源期刊,"['李斌', '郑运慧', '马莉丽', '闫凌山']",国土资源科技管理,2021-10-15,期刊,,7

真诚型领导的研究进展及前沿探讨——基于Citespace的知识图谱分析,"['刘芳', '毛亚平']",北方经贸,2021-10-15,期刊,,6

中国体育研究的前沿、热点与发展——基于《体育科学》40年载文的知识图谱分析(1981-2020年),"['黄君洁', '姚菁']",福建体育科技,2021-10-15,期刊,,12

国内学术英语研究热点与趋势——基于CNKI核心期刊的知识图谱分析,"['李为山', '李康熙']",合肥工业大学学报(社会科学版),2021-10-15,期刊,,23

基于CiteSpace的体教融合研究热点及趋势可视化分析,"['向萌', '樊炳有', '李晓鹏']",湖北体育科技,2021-10-15,期刊,,

基于知识图谱的我国体育文化传播研究热点与前沿演进分析,"['冯广', '冉建']",湖北体育科技,2021-10-15,期刊,,

现状·热点·演进：体教融合研究回溯与展望,"['殷明越', '刘骞']",湖北体育科技,2021-10-15,期刊,,

title,authors,source,date,database,quote,download

基于知识图谱下校园足球研究的可视化分析,['曹诗卉'],文体用品与科技,2021-10-15,期刊,,6

中小学校长专业化发展研究——基于2000—2019年CJFD核心期刊来源文献关键词计量分析,['邵玲芝'],中小学校长,2021-10-15,期刊,,

中小学校长领导力研究热点与前沿——基于2004—2020年CNKI引用文献的计量研究,['郎家惠'],中小学校长,2021-10-15,期刊,,

我国职业教育研究的现状、热点与趋势——基于CNKI(1998—2019)核心期刊文献的知识图谱分析,"['滕云', '高铭']",高教论坛,2021-10-14,期刊,,299

中西部教育研究的热点领域与发展趋势——基于CNKI核心数据库文献的可视化知识图谱分析,"['周海涛', '王艺鑫']",西北师大学报(社会科学版),2021-10-12,期刊,,273

基于科学知识图谱的黄河研究演化分析,"['李金铠', '刘守临', '魏伟']",西北大学学报(自然科学版),2021-10-12,期刊,,52

我国职业教育与社区教育融合发展研究综述(2000—2020年)——基于CiteSpace知识图谱分析,"['郑玉清', '刘楚佳']",成人教育,2021-10-12,期刊,,363

我国人工智能教育研究现状、热点与趋势——基于CiteSpace和VOSviewer的可视化分析,"['王全亮', '黄剑华', '彭勇', '王欢', '张小菲']",教育与装备研究,2021-10-12,期刊,,93

我国小学科学教师研究的现状分析——基于CiteSpace可视化分析,"['王寅枚', '胡雨欣', '张洪雁']",现代职业教育,2021-10-11,期刊,,158

基础研究领域知识图谱研究前沿的可视化分析,"['陈雅丹', '杜元', '朱爽', '赵欣然', '孙娜', '', '李心怡', '胡烨胤', '李新龙']",海南医学,2021-10-10,期刊,,76

基于知识图谱的智能包装研究现状与发展趋势分析,"['李祎', '肖敦逸', '吴岳忠', '孙翱魁']",包装工程,2021-10-10,期刊,,66

基于CiteSpace的国内公共卫生事件研究现状与趋势,"['蒋祖存', '徐双敏', '牟珈琪']",黄冈师范学院学报,2021-10-10,期刊,,36

《信阳师范学院学报（自然科学版）》文献计量与知识图谱分析——创刊40周年的回眸与展望,"['牛继强', '程启先', '刘明华', '黄日昌', '张倩']",信阳师范学院学报(自然科学版),2021-10-10,期刊,,13

基于CiteSpace软件的活血解毒中药辨证治疗动脉粥样硬化知识图谱分析,"['张艳', '周庆兵', '徐凤芹']",中西医结合心脑血管病杂志,2021-10-10,期刊,,28

基于CNKI的中医药治疗便秘知识图谱分析,"['潘姣', '肖文洁', '鲍新坤', '孙光军', '林爱珍', '', '周媛媛']",湖北中医杂志,2021-10-10,期刊,,27

知识图谱镜像中的智慧课堂研究——基于2010—2020年CNKI文献的共词分析和社会网络分析,"['李高祥', '李娟', '李刚']",中国教育信息化,2021-10-10,期刊,,50

基于科学文献计量的国内区域创新生态系统的研究进展及趋势分析,"['张坚', '吉欢']",科技管理研究,2021-10-10,期刊,,39

基于CiteSpace的民用无人机国内外研究热点与趋势分析,"['毛秋红', '石聪聪']",科技管理研究,2021-10-10,期刊,,27

基于CiteSpace图谱分析的PPP项目风险演化,"['陈士静', '陈德鹏', '吕忠', '刘果']",项目管理技术,2021-10-10,期刊,,8

STS视域下的传播设计研究——基于CiteSpace科学知识图谱分析,['叶恒'],新闻研究导刊,2021-10-10,期刊,,

title,authors,source,date,database,quote,download

基于知识图谱的巴蜀文化研究分析,['邢宇'],新闻研究导刊,2021-10-10,期刊,,

我国高校体育教学研究热点分析,"['邓艺华', '李国印']",冰雪体育创新研究,2021-10-10,期刊,,13

基于CiteSpaceV的近二十年我国篮球运动技术研究计量学分析,"['朱俊烨', '丁先琼']",冰雪体育创新研究,2021-10-10,期刊,,1

新时代绿色发展重要论述相关研究知识图谱分析,"['王欣蕊', '杨兰', '贾睿东']",合作经济与科技,2021-10-09,期刊,,156

数字人文与档案资源内容挖掘文献综述,"['张伟民', '宋雪雁']",兰台世界,2021-10-06,期刊,,43

基于Citespace的新商科研究热点动态追踪,"['唐光海', '曾慧']",商讯,2021-10-05,期刊,,47

我国乡村振兴的学术研究现状及趋势分析,"['原源', '刘长娥', '程彬彬', '蔡小昂']",上海农业科技,2021-10-05,期刊,,346

基于CiteSpace软件的国内外照顾者心理相关研究现状与趋势对比分析,"['王咪', '林征', '周美景', '顾子君', '孙彩云']",中国医药导报,2021-10-05,期刊,,7

终身学习国际研究的历史脉络与前沿方向——基于WOS数据库50年文献的计量分析,['吴峰'],终身教育研究,2021-10-01,期刊,,67

民族地区脱贫攻坚研究回顾与未来展望——基于CNKI收录文献的计量分析,"['张曦丹', '张曦']",中国西部,2021-10-01,期刊,,26

面向智能搜索应用的水利知识图谱构建,"['高凤宁', '高祥涛', '曹帅', '朱向荣', '司存友', '', '胡伟']",江苏水利,2021-10-01,期刊,,25

自然语言处理在其他学科领域的影响考察——基于CNKI的中文文献挖掘,"['蒋彦廷', '胡韧奋']",情报杂志,2021-09-30,期刊,,393

近十年来华留学生教育研究的知识图谱分析,"['李佳美', '程杰']",成都师范学院学报,2021-09-30,期刊,,156

我国龙眼研究热点及趋势探析——基于知识图谱的可视化分析,"['徐英杰', '胡泽中', '梁诗华', '缪韩彬', '吕建秋']",农产品加工,2021-09-30,期刊,,18

近30年中国情境下权变理论研究知识图谱分析与展望,"['林新奇', '石嘉伟']",宁夏大学学报(人文社会科学版),2021-09-30,期刊,,47

我国职业教育课程开发研究热点的可视化分析,"['范哲超', '米媛婷', '丰洪微']",南宁职业技术学院学报,2021-09-30,期刊,,11

我国健康体适能研究的知识图谱分析——以CNKI中文核心期刊为样本,"['殷跃', '杨燕', '倪新亮']",连云港职业技术学院学报,2021-09-30,期刊,,

话语标记研究热点与发展分析,['肖明'],华中学术,2021-09-30,辑刊,,17

基于科学知识图谱的干旱区城镇化文献计量分析,"['周春山', '陈楷锐', '白克拉木·孜克利亚']",干旱区地理,2021-09-29,期刊,,359

基于CiteSpace的我国营商环境研究重点与趋势的知识图谱分析,"['张秦', '孙长坪']",统计与管理,2021-09-29,期刊,,448

title,authors,source,date,database,quote,download

科学计量学视域下6G信息通信技术研究现状分析,"['李姣姣', '汪卫国', '魏克军']",竞争情报,2021-09-29,期刊,,179

基于CiteSpace对基层群众自治制度的知识图谱分析,"['杨艳', '周真刚']",新疆师范大学学报(哲学社会科学版),2021-09-28,期刊,,390

国际智慧体育的研究现状与趋势,"['郑宇', '高瞻乐', '金毓', '林涛', '房鑫', '', '黄路萍', '袁琼嘉']",成都体育学院学报,2021-09-28,期刊,,471

针灸治疗颈源性头痛知识图谱可视化分析,"['张红', '张永臣', '贾红玲']",中国中医药信息杂志,2021-09-28,期刊,,422

“大智移云”背景下我国管理会计研究现状与热点综述——基于CiteSpace的可视化分析,"['张鲜华', '向桂霖']",重庆文理学院学报(社会科学版),2021-09-28,期刊,1,312

近十年我国医学研究生教育的文献记忆与趋势分析,"['栗彦芳', '苗明三', '白娟', '詹向红', '呼海涛', '', '别荣海']",高教学刊,2021-09-28,期刊,,17

近十年我国学前儿童家庭亲子关系研究述评——基于CiteSpace的知识图谱分析,['丁楠'],教育观察,2021-09-28,期刊,,283

我国幼儿教师观察研究现状与趋势——基于CiteSpace的知识图谱分析(2003—2021),"['王文洁', '杨山松', '舒德荣', '乔添琪']",教育观察,2021-09-28,期刊,,112

建筑工人安全/不安全行为研究的回溯与展望：基于知识图谱分析,"['邓娇娇', '陈晨', '刘洋']",安全与环境工程,2021-09-28,期刊,,363

基于CiteSpace的中医药治疗水肿的可视化分析,"['王迪', '但文超', '何庆勇', '林巧']",世界中西医结合杂志,2021-09-28,期刊,,32

近三十年我国高考研究的热点与趋向——基于1992年以来核心期刊数据的知识图谱分析,"['赵英', '苗婷婷']",教育与考试,2021-09-28,期刊,,17

基于知识图谱的先进制造业研究综述,['何瀚玮'],长江师范学院学报,2021-09-28,期刊,,12

